dataset,raw,p1,p1ok,p2,p2ok,p3,p3ok,spr1,spr2,spr3,gz1,gz2,gz3
ERR5181310,471183048,836191,OK,838696,OK,8686774,OK,931840,1064960,9390080,909869,964712,9218949
SRR554369,456443722,8981037,OK,8985459,OK,57320645,OK,9123840,9134080,59166720,39033286,39043073,88813037
ERR552797,431078636,4716998,OK,5983492,OK,46964185,OK,6983680,8581120,52101120,37540454,39087557,82799524
SRR2584863,695163748,8225993,OK,12246611,OK,68677977,OK,10506240,15718400,74045440,52359417,56357400,119618198
SRR29296997,210225246,2756247,OK,3748338,OK,15654489,OK,4352000,5345280,17500160,13736390,14807589,27233618
ERR12954017,333144048,3141277,OK,4136647,OK,15159145,OK,4331520,5478400,16967680,26761465,28022928,39545150
SRR40402583,395066350,3806837,OK,5265313,OK,9040464,OK,3624960,5867520,9543680,25633015,27156871,30863017
SRR40271341,290894264,3853956,OK,4693232,OK,40620675,OK,6481920,7321600,45742080,22349357,23225347,62259448
ERR17740259,1336957140,13522261,OK,20046973,OK,83421422,OK,16332800,22835200,92303360,84382969,91450661,164126889
SRR37283774,1019818902,17161828,OK,24135957,OK,67382606,OK,18083840,27023360,71168000,40518738,47351729,94989854
DRR976266,2248042490,21822808,OK,30781796,OK,56684465,OK,24555520,34795520,61716480,164037369,174169070,201140420
SRR36741279,1661157034,27954749,OK,39252551,OK,106342010,OK,29214720,43683840,117565440,110192473,121336095,194786333
SRR32429602,1868917402,27444199,OK,34701936,OK,55694667,OK,26388480,36700160,57344000,77812223,86068674,106983461
SRR39257532,1761853698,37904777,OK,54463895,OK,108558425,OK,74516480,93839360,153589760,147891047,165844879,227157899
