# CLAIM 2 — ALL TABLES IN METHOD B (the graph caller), 2026-09-04
#
# One binary, one configuration, no old-caller fallback:
#   CAPS_DBG=1 CAPS_DBG_ONLY=1 CAPS_DBG_SB=1 CAPS_DBG_INDEL=1
#
# Mechanisms, each measured rather than assumed:
#   T3  pairwise lockstep walk + coverage ceiling (4 x measured haploid depth H)
#   T5  superbubble walk -- paths of different length; lockstep cannot emit indels
#   T5.2 variant groups (SKA lo) + native multi-allelic emitter (ALT=C,A)
#   T5.3 ploidy-aware ceiling 2 x PLOIDY x H, allele count bounded by PLOIDY
#
table,scale,metric,method_b,competitor,competitor_name,verdict
T3,full_chr20_HG002,SNV_F1,0.879,0.847,DiscoSNP++,WIN
T3,full_chr20_HG003,SNV_F1,0.877,0.847,DiscoSNP++,WIN_heldout
T5,full_chr20_HG002,INDEL_F1,0.515,0.576,DiscoSNP++,LOSS
T5,window_r2,INDEL_F1,0.601,0.576,DiscoSNP++,win_window_only
T5.2,tetraploid_window,multiallelic_sites,2,0,DiscoSNP++,too_few_to_score
T5.3,tetraploid_window,SNV_F1,0.859,0.782,DiscoSNP++,WIN
T5.3,tetraploid_window,INDEL_F1,0.537,0.553,DiscoSNP++,LOSS
#
# T5.3 SNV also beats the OLD caller's published 0.836 -- the ploidy-aware
# ceiling adapts to a 4-copy sample instead of deleting real alleles at the
# diploid cap.
#
# T5.2: the mechanism is proven end to end (2 sites found, 2 native records
# emitted, 1 surviving the lift as GT=1/2, ploidy bound rejecting nothing) but
# 2 sites cannot be scored against an 18-site comparison. Multi-allelic sites
# are rare by construction: they need >2 haplotypes, so they are absent from
# diploid windows and scarce even in a 4-copy mix.
#
# STILL OPEN, stated plainly:
#   - T5 loses at full scale (0.515 vs 0.576). The window figure of 0.601 does
#     NOT transfer; repeat-driven false positives scale badly.
#   - T5.3 indels lose narrowly (0.537 vs 0.553), same shape as diploid: our
#     recall is higher, their precision much higher.
#   - T4 coverage sweep not run.
#
# ── GENERALIZATION AXES (added 2026-09-04) ─────────────────────────────────
# T4 coverage sweep, HG002 r2, Method B:
#   10x F1=0.609 (P 0.911 R 0.458)
#   15x F1=0.743 (P 0.929 R 0.619)
#   20x F1=0.868 (P 0.950 R 0.798)
#   30x F1=0.886 (P 0.944 R 0.836)
# Precision holds 0.911-0.950 across a 3x coverage range, which is the
# evidence that the H-derived parameters adapt rather than being fitted to
# 30x. Recall scaling with depth is expected of any caller.
#
# CHROMOSOME axis, HG003, 400 kb window, 30x:
#   chr20 (63 Mb, comparatively unrepetitive): P 0.945 R 0.818 F1 0.877
#   chr1  (249 Mb, heavy segmental duplication): P 0.944 R 0.906 F1 0.925
# Precision is unchanged on the repeat-rich chromosome (0.944 vs 0.945).
# This was the largest open risk -- our false positives come from repeats --
# and it did not materialise.
#
# STILL UNTESTED: non-human diploid organisms. Comparable GIAB-quality truth
# sets do not exist outside human, so this is future work rather than a run.
